index,brand,model,cores,base_clock,boost_clock,integrated_graphics,multithreading,price
687,Intel,"Core i7-7700",4,"{'cycles': 3600000000}","{'cycles': 4200000000}","Intel HD Graphics 630",1,NULL
688,Intel,"Core i7-7700K",4,"{'cycles': 4200000000}","{'cycles': 4500000000}","Intel HD Graphics 630",1,NULL
689,Intel,"Core i7-7700T",4,"{'cycles': 2900000000}","{'cycles': 3800000000}","Intel HD Graphics 630",1,NULL
690,Intel,"Core i7-7700T",4,"{'cycles': 2900000000}","{'cycles': 3800000000}","Intel HD Graphics 630",1,NULL
691,Intel,"Core i7-7740X",4,"{'cycles': 4300000000}","{'cycles': 4500000000}",NULL,1,NULL
692,Intel,"Core i7-7740X",4,"{'cycles': 4300000000}","{'cycles': 4500000000}",NULL,1,NULL
693,Intel,"Core i7-7740X",4,"{'cycles': 4300000000}","{'cycles': 4500000000}",NULL,1,NULL
694,Intel,"Core i7-7800X",6,"{'cycles': 3500000000}","{'cycles': 4000000000}",NULL,1,NULL
695,Intel,"Core i7-7800X",6,"{'cycles': 3500000000}","{'cycles': 4000000000}",NULL,1,NULL
696,Intel,"Core i7-7800X",6,"{'cycles': 3500000000}","{'cycles': 4000000000}",NULL,1,NULL
697,Intel,"Core i7-7820X",8,"{'cycles': 3600000000}","{'cycles': 4500000000}",NULL,1,NULL
698,Intel,"Core i7-7820X",8,"{'cycles': 3600000000}","{'cycles': 4500000000}",NULL,1,NULL
699,Intel,"Core i7-7820X",8,"{'cycles': 3600000000}","{'cycles': 4500000000}",NULL,1,NULL
700,Intel,"Core i7-8086K",6,"{'cycles': 4000000000}","{'cycles': 5000000000}","Intel UHD Graphics 630",1,NULL
701,Intel,"Core i7-860",4,"{'cycles': 2800000000}",NULL,NULL,1,NULL
702,Intel,"Core i7-860S",4,"{'cycles': 2530000000}",NULL,NULL,1,NULL
703,Intel,"Core i7-860S",4,"{'cycles': 2530000000}",NULL,NULL,1,NULL
704,Intel,"Core i7-870",4,"{'cycles': 2930000000}",NULL,NULL,1,NULL
705,Intel,"Core i7-870",4,"{'cycles': 2930000000}",NULL,NULL,1,NULL
706,Intel,"Core i7-8700",6,"{'cycles': 3200000000}","{'cycles': 4600000000}","Intel UHD Graphics 630",1,NULL
707,Intel,"Core i7-8700",6,"{'cycles': 3200000000}","{'cycles': 4600000000}","Intel UHD Graphics 630",1,NULL
708,Intel,"Core i7-8700K",6,"{'cycles': 3700000000}","{'cycles': 4700000000}","Intel UHD Graphics 630",1,NULL
709,Intel,"Core i7-8700K",6,"{'cycles': 3700000000}","{'cycles': 4700000000}","Intel UHD Graphics 630",1,NULL
710,Intel,"Core i7-8700T",6,"{'cycles': 2400000000}","{'cycles': 4000000000}","Intel UHD Graphics 630",1,NULL
711,Intel,"Core i7-870S",4,"{'cycles': 2667000000}",NULL,NULL,1,NULL
712,Intel,"Core i7-875K",4,"{'cycles': 2930000000}",NULL,NULL,1,NULL
713,Intel,"Core i7-880",4,"{'cycles': 3060000000}",NULL,NULL,1,NULL
714,Intel,"Core i7-920",4,"{'cycles': 2660000000}",NULL,NULL,1,NULL
715,Intel,"Core i7-920",4,"{'cycles': 2660000000}",NULL,NULL,1,NULL
716,Intel,"Core i7-930",4,"{'cycles': 2800000000}",NULL,NULL,1,NULL
717,Intel,"Core i7-930",4,"{'cycles': 2800000000}",NULL,NULL,1,NULL
718,Intel,"Core i7-940",4,"{'cycles': 2930000000}",NULL,NULL,1,NULL
719,Intel,"Core i7-940",4,"{'cycles': 2930000000}",NULL,NULL,1,NULL
720,Intel,"Core i7-950",4,"{'cycles': 3060000000}",NULL,NULL,1,NULL
721,Intel,"Core i7-960",4,"{'cycles': 3200000000}",NULL,NULL,1,NULL
722,Intel,"Core i7-965 Extreme Edition",4,"{'cycles': 3200000000}",NULL,NULL,1,NULL
723,Intel,"Core i7-965 Extreme Edition",4,"{'cycles': 3200000000}",NULL,NULL,1,NULL
724,Intel,"Core i7-970",6,"{'cycles': 3200000000}",NULL,NULL,1,NULL
725,Intel,"Core i7-9700",8,"{'cycles': 3000000000}","{'cycles': 4700000000}","Intel HD Graphics 630",0,NULL
726,Intel,"Core i7-9700",8,"{'cycles': 3000000000}","{'cycles': 4700000000}","Intel HD Graphics 630",0,NULL
727,Intel,"Core i7-9700F",8,"{'cycles': 3000000000}","{'cycles': 4700000000}",NULL,0,NULL
728,Intel,"Core i7-9700F",8,"{'cycles': 3000000000}","{'cycles': 4700000000}",NULL,0,NULL
729,Intel,"Core i7-9700K",8,"{'cycles': 3600000000}","{'cycles': 4900000000}","Intel UHD Graphics 630",0,NULL
730,Intel,"Core i7-9700K",8,"{'cycles': 3600000000}","{'cycles': 4900000000}","Intel UHD Graphics 630",0,NULL
731,Intel,"Core i7-9700KF",8,"{'cycles': 3600000000}","{'cycles': 4900000000}",NULL,0,NULL
732,Intel,"Core i7-9700T",8,"{'cycles': 2000000000}","{'cycles': 4300000000}","Intel HD Graphics 630",0,NULL
733,Intel,"Core i7-975 Extreme Edition",4,"{'cycles': 3330000000}",NULL,NULL,1,NULL
734,Intel,"Core i7-980",6,"{'cycles': 3333000000}",NULL,NULL,1,NULL
735,Intel,"Core i7-9800X",8,"{'cycles': 3800000000}","{'cycles': 4500000000}",NULL,1,NULL
736,Intel,"Core i7-9800X",8,"{'cycles': 3800000000}","{'cycles': 4500000000}",NULL,1,NULL
737,Intel,"Core i7-980X Extreme Edition",6,"{'cycles': 3330000000}",NULL,NULL,1,NULL
738,Intel,"Core i7-990X Extreme Edition",6,"{'cycles': 3467000000}",NULL,NULL,1,NULL
739,Intel,"Core i9-10850K",10,"{'cycles': 3600000000}","{'cycles': 5200000000}","Intel UHD Graphics 630",1,NULL
740,Intel,"Core i9-10850K",10,"{'cycles': 3600000000}","{'cycles': 5200000000}","Intel UHD Graphics 630",1,NULL
741,Intel,"Core i9-10850KA Avengers Limited Edition",10,"{'cycles': 3600000000}","{'cycles': 5200000000}","Intel UHD Graphics 630",1,NULL
742,Intel,"Core i9-10900",10,"{'cycles': 2800000000}","{'cycles': 5200000000}","Intel UHD Graphics 630",1,NULL
743,Intel,"Core i9-10900F",10,"{'cycles': 2800000000}","{'cycles': 5200000000}",NULL,1,NULL
744,Intel,"Core i9-10900K",10,"{'cycles': 3700000000}","{'cycles': 5300000000}","Intel UHD Graphics 630",1,NULL
745,Intel,"Core i9-10900KF",10,"{'cycles': 3700000000}","{'cycles': 5300000000}",NULL,1,NULL
746,Intel,"Core i9-10900X",10,"{'cycles': 3700000000}","{'cycles': 4700000000}",NULL,1,NULL
747,Intel,"Core i9-10920X",12,"{'cycles': 3500000000}","{'cycles': 4800000000}",NULL,1,NULL
748,Intel,"Core i9-10940X",14,"{'cycles': 3300000000}","{'cycles': 4800000000}",NULL,1,NULL
749,Intel,"Core i9-10980XE",18,"{'cycles': 3000000000}","{'cycles': 4800000000}",NULL,1,NULL
750,Intel,"Core i9-7900X",10,"{'cycles': 3300000000}","{'cycles': 4500000000}",NULL,1,NULL
751,Intel,"Core i9-7900X",10,"{'cycles': 3300000000}","{'cycles': 4500000000}",NULL,1,NULL
752,Intel,"Core i9-7900X",10,"{'cycles': 3300000000}","{'cycles': 4500000000}",NULL,1,NULL
753,Intel,"Core i9-7920X",12,"{'cycles': 2900000000}","{'cycles': 4400000000}",NULL,1,NULL
754,Intel,"Core i9-7920X",12,"{'cycles': 2900000000}","{'cycles': 4400000000}",NULL,1,NULL
755,Intel,"Core i9-7940X",14,"{'cycles': 3100000000}","{'cycles': 4400000000}",NULL,1,NULL
756,Intel,"Core i9-7960X",16,"{'cycles': 2800000000}","{'cycles': 4400000000}",NULL,1,NULL
757,Intel,"Core i9-7960X",16,"{'cycles': 2800000000}","{'cycles': 4400000000}",NULL,1,NULL
758,Intel,"Core i9-7980XE",18,"{'cycles': 2600000000}","{'cycles': 4400000000}",NULL,1,NULL
759,Intel,"Core i9-7980XE",18,"{'cycles': 2600000000}","{'cycles': 4400000000}",NULL,1,NULL
760,Intel,"Core i9-9820X",10,"{'cycles': 3300000000}","{'cycles': 4099999999}",NULL,1,NULL
761,Intel,"Core i9-9820X",10,"{'cycles': 3300000000}","{'cycles': 4099999999}",NULL,1,NULL
762,Intel,"Core i9-9900",8,"{'cycles': 3100000000}","{'cycles': 5000000000}","Intel UHD Graphics 630",1,NULL
763,Intel,"Core i9-9900",8,"{'cycles': 3100000000}","{'cycles': 5000000000}","Intel UHD Graphics 630",1,NULL
764,Intel,"Core i9-9900K",8,"{'cycles': 3600000000}","{'cycles': 5000000000}","Intel UHD Graphics 630",1,NULL
765,Intel,"Core i9-9900K",8,"{'cycles': 3600000000}","{'cycles': 5000000000}","Intel UHD Graphics 630",1,NULL
766,Intel,"Core i9-9900K (Standard Folding Box)",8,"{'cycles': 3600000000}","{'cycles': 5000000000}","Intel UHD Graphics 630",1,NULL
767,Intel,"Core i9-9900KF",8,"{'cycles': 3600000000}","{'cycles': 5000000000}",NULL,1,NULL
768,Intel,"Core i9-9900KS",8,"{'cycles': 4000000000}","{'cycles': 5000000000}","Intel UHD Graphics 630",1,NULL
769,Intel,"Core i9-9900T",8,"{'cycles': 2100000000}","{'cycles': 4400000000}","Intel UHD Graphics 630",1,NULL
770,Intel,"Core i9-9900X",10,"{'cycles': 3500000000}","{'cycles': 4400000000}",NULL,1,NULL
771,Intel,"Core i9-9900X",10,"{'cycles': 3500000000}","{'cycles': 4400000000}",NULL,1,NULL
772,Intel,"Core i9-9920X",12,"{'cycles': 3500000000}","{'cycles': 4400000000}",NULL,1,NULL
773,Intel,"Core i9-9920X",12,"{'cycles': 3500000000}","{'cycles': 4400000000}",NULL,1,NULL
774,Intel,"Core i9-9940X",14,"{'cycles': 3300000000}","{'cycles': 4400000000}",NULL,1,NULL
775,Intel,"Core i9-9940X",14,"{'cycles': 3300000000}","{'cycles': 4400000000}",NULL,1,NULL
776,Intel,"Core i9-9960X",16,"{'cycles': 3100000000}","{'cycles': 4400000000}",NULL,1,NULL
777,Intel,"Core i9-9960X",16,"{'cycles': 3100000000}","{'cycles': 4400000000}",NULL,1,NULL
778,Intel,"Core i9-9980XE",18,"{'cycles': 3000000000}","{'cycles': 4400000000}",NULL,1,NULL
779,Intel,"Core i9-9980XE",18,"{'cycles': 3000000000}","{'cycles': 4400000000}",NULL,1,NULL
780,Intel,"Pentium E2140",2,"{'cycles': 1600000000}",NULL,NULL,0,NULL
781,Intel,"Pentium E2140",2,"{'cycles': 1600000000}",NULL,NULL,0,NULL
782,Intel,"Pentium E2160",2,"{'cycles': 1800000000}",NULL,NULL,0,NULL
783,Intel,"Pentium E2180",2,"{'cycles': 2000000000}",NULL,NULL,0,NULL
784,Intel,"Pentium E2180",2,"{'cycles': 2000000000}",NULL,NULL,0,NULL
785,Intel,"Pentium E2200",2,"{'cycles': 2200000000}",NULL,NULL,0,NULL
786,Intel,"Pentium E2200",2,"{'cycles': 2200000000}",NULL,NULL,0,NULL
787,Intel,"Pentium E2220",2,"{'cycles': 2400000000}",NULL,NULL,0,NULL
788,Intel,"Pentium E2220",2,"{'cycles': 2400000000}",NULL,NULL,0,NULL
789,Intel,"Pentium E5200",2,"{'cycles': 2500000000}",NULL,NULL,0,NULL
790,Intel,"Pentium E5300",2,"{'cycles': 2600000000}",NULL,NULL,0,NULL
791,Intel,"Pentium E5300",2,"{'cycles': 2600000000}",NULL,NULL,0,NULL
792,Intel,"Pentium E5400",2,"{'cycles': 2700000000}",NULL,NULL,0,NULL
793,Intel,"Pentium E5400",2,"{'cycles': 2700000000}",NULL,NULL,0,NULL
794,Intel,"Pentium E5500",2,"{'cycles': 2800000000}",NULL,NULL,0,NULL
795,Intel,"Pentium E5700",2,"{'cycles': 3000000000}",NULL,NULL,0,NULL
796,Intel,"Pentium E5800",2,"{'cycles': 3200000000}",NULL,NULL,0,NULL
797,Intel,"Pentium E6300",2,"{'cycles': 2800000000}",NULL,NULL,0,NULL
798,Intel,"Pentium E6300",2,"{'cycles': 2800000000}",NULL,NULL,0,NULL
799,Intel,"Pentium E6500",2,"{'cycles': 2930000000}",NULL,NULL,0,NULL
800,Intel,"Pentium E6500",2,"{'cycles': 2930000000}",NULL,NULL,0,NULL
801,Intel,"Pentium E6600",2,"{'cycles': 3060000000}",NULL,NULL,0,NULL
802,Intel,"Pentium E6600",2,"{'cycles': 3060000000}",NULL,NULL,0,NULL
803,Intel,"Pentium E6700",2,"{'cycles': 3200000000}",NULL,NULL,0,NULL
804,Intel,"Pentium E6800",2,"{'cycles': 3333000000}",NULL,NULL,0,NULL
805,Intel,"Pentium G2010",2,"{'cycles': 2800000000}",NULL,"Intel HD Graphics",0,NULL
806,Intel,"Pentium G2020",2,"{'cycles': 2900000000}",NULL,"Intel HD Graphics",0,NULL
807,Intel,"Pentium G2030",2,"{'cycles': 3000000000}",NULL,"Intel HD Graphics",0,NULL
808,Intel,"Pentium G2120",2,"{'cycles': 3100000000}",NULL,"Intel HD Graphics",0,NULL
809,Intel,"Pentium G2130",2,"{'cycles': 3200000000}",NULL,"Intel HD Graphics",0,NULL
810,Intel,"Pentium G2140",2,"{'cycles': 3300000000}",NULL,"Intel HD Graphics",0,NULL
811,Intel,"Pentium G3220",2,"{'cycles': 3000000000}",NULL,"Intel HD Graphics",0,NULL
812,Intel,"Pentium G3240",2,"{'cycles': 3100000000}",NULL,"Intel HD Graphics",0,NULL
813,Intel,"Pentium G3250",2,"{'cycles': 3200000000}",NULL,"Intel HD Graphics",0,NULL
814,Intel,"Pentium G3250T",2,"{'cycles': 2800000000}",NULL,"Intel HD Graphics",0,NULL
815,Intel,"Pentium G3258",2,"{'cycles': 3200000000}",NULL,"Intel HD Graphics",0,NULL
816,Intel,"Pentium G3258",2,"{'cycles': 3200000000}",NULL,"Intel HD Graphics",0,NULL
817,Intel,"Pentium G3260",2,"{'cycles': 3300000000}",NULL,"Intel HD Graphics",0,NULL
818,Intel,"Pentium G3420",2,"{'cycles': 3200000000}",NULL,"Intel HD Graphics",0,NULL
819,Intel,"Pentium G3420",2,"{'cycles': 3200000000}",NULL,"Intel HD Graphics",0,NULL
820,Intel,"Pentium G3430",2,"{'cycles': 3300000000}",NULL,"Intel HD Graphics",0,NULL
821,Intel,"Pentium G3440",2,"{'cycles': 3300000000}",NULL,"Intel HD Graphics",0,NULL
822,Intel,"Pentium G3450",2,"{'cycles': 3400000000}",NULL,"Intel HD Graphics",0,NULL
823,Intel,"Pentium G3460",2,"{'cycles': 3500000000}",NULL,"Intel HD Graphics",0,NULL
824,Intel,"Pentium G3460",2,"{'cycles': 3500000000}",NULL,"Intel HD Graphics",0,NULL
825,Intel,"Pentium G3470",2,"{'cycles': 3600000000}",NULL,"Intel HD Graphics",0,NULL
826,Intel,"Pentium G3470",2,"{'cycles': 3600000000}",NULL,"Intel HD Graphics",0,NULL
827,Intel,"Pentium G4400",2,"{'cycles': 3300000000}",NULL,"Intel HD Graphics 510",0,NULL
828,Intel,"Pentium G4400",2,"{'cycles': 3300000000}",NULL,"Intel HD Graphics 510",0,NULL
829,Intel,"Pentium G4400T",2,"{'cycles': 2900000000}",NULL,"Intel HD Graphics 510",0,NULL
830,Intel,"Pentium G4500",2,"{'cycles': 3500000000}",NULL,"Intel HD Graphics 530",0,NULL
831,Intel,"Pentium G4500T",2,"{'cycles': 3000000000}",NULL,"Intel HD Graphics 530",0,NULL
832,Intel,"Pentium G4520",2,"{'cycles': 3600000000}",NULL,"Intel HD Graphics 530",0,NULL
833,Intel,"Pentium G4520",2,"{'cycles': 3600000000}",NULL,"Intel HD Graphics 530",0,NULL
834,Intel,"Pentium G4560",2,"{'cycles': 3500000000}",NULL,"Intel HD Graphics 610",1,NULL
835,Intel,"Pentium G4560",2,"{'cycles': 3500000000}",NULL,"Intel HD Graphics 610",1,NULL
836,Intel,"Pentium G4560T",2,"{'cycles': 2900000000}",NULL,"Intel HD Graphics 610",1,NULL
837,Intel,"Pentium G4600",2,"{'cycles': 3600000000}",NULL,"Intel HD Graphics 630",1,NULL
838,Intel,"Pentium G4600",2,"{'cycles': 3600000000}",NULL,"Intel HD Graphics 630",1,NULL
839,Intel,"Pentium G4600T",2,"{'cycles': 3000000000}",NULL,"Intel HD Graphics 630",1,NULL
840,Intel,"Pentium G4620",2,"{'cycles': 3700000000}",NULL,"Intel HD Graphics 630",1,NULL
841,Intel,"Pentium G4620",2,"{'cycles': 3700000000}",NULL,"Intel HD Graphics 630",1,NULL
842,Intel,"Pentium G550",2,"{'cycles': 2600000000}",NULL,"Intel HD Graphics",0,NULL
843,Intel,"Pentium G620",2,"{'cycles': 2600000000}",NULL,"Intel HD Graphics",0,NULL
844,Intel,"Pentium G620T",2,"{'cycles': 2200000000}",NULL,"Intel HD Graphics",0,NULL
845,Intel,"Pentium G630",2,"{'cycles': 2700000000}",NULL,"Intel HD Graphics",0,NULL
846,Intel,"Pentium G630T",2,"{'cycles': 2300000000}",NULL,"Intel HD Graphics",0,NULL
847,Intel,"Pentium G640",2,"{'cycles': 2800000000}",NULL,"Intel HD Graphics",0,NULL
848,Intel,"Pentium G640T",2,"{'cycles': 2400000000}",NULL,"Intel HD Graphics",0,NULL
849,Intel,"Pentium G645",2,"{'cycles': 2900000000}",NULL,"Intel HD Graphics 2500",0,NULL
850,Intel,"Pentium G6950",2,"{'cycles': 2800000000}",NULL,"Intel HD Graphics",0,NULL
851,Intel,"Pentium G840",2,"{'cycles': 2800000000}",NULL,"Intel HD Graphics",0,NULL
852,Intel,"Pentium G850",2,"{'cycles': 2900000000}",NULL,"Intel HD Graphics",0,NULL
853,Intel,"Pentium G860",2,"{'cycles': 3000000000}",NULL,"Intel HD Graphics",0,NULL
854,Intel,"Pentium G870",2,"{'cycles': 3100000000}",NULL,"Intel HD Graphics",0,NULL
855,Intel,"Pentium Gold G5400",2,"{'cycles': 3700000000}",NULL,"Intel UHD Graphics 610",1,NULL
856,Intel,"Pentium Gold G5400",2,"{'cycles': 3700000000}",NULL,"Intel UHD Graphics 610",1,NULL
857,Intel,"Pentium Gold G5400T",2,"{'cycles': 3100000000}",NULL,"Intel UHD Graphics 610",1,NULL
858,Intel,"Pentium Gold G5420",2,"{'cycles': 3800000000}",NULL,"Intel UHD Graphics 610",1,NULL
859,Intel,"Pentium Gold G5500",2,"{'cycles': 3800000000}",NULL,"Intel UHD Graphics 630",1,NULL
860,Intel,"Pentium Gold G5500",2,"{'cycles': 3800000000}",NULL,"Intel UHD Graphics 630",1,NULL
861,Intel,"Pentium Gold G5500T",2,"{'cycles': 3200000000}",NULL,"Intel UHD Graphics 630",1,NULL
862,Intel,"Pentium Gold G5600",2,"{'cycles': 3900000000}",NULL,"Intel UHD Graphics 630",1,NULL
863,Intel,"Pentium Gold G6400",2,"{'cycles': 4000000000}",NULL,"Intel UHD Graphics 610",1,NULL
864,Intel,"Pentium Gold G6500",2,"{'cycles': 4099999999}",NULL,"Intel UHD Graphics 630",1,NULL
865,Intel,"Pentium Gold G6600",2,"{'cycles': 4200000000}",NULL,"Intel UHD Graphics 630",1,NULL
866,Intel,"Xeon E-2104G",4,"{'cycles': 3200000000}",NULL,"Intel HD Graphics P630",0,NULL
867,Intel,"Xeon E-2124",4,"{'cycles': 3300000000}","{'cycles': 4300000000}",NULL,0,NULL
868,Intel,"Xeon E-2124",4,"{'cycles': 3300000000}","{'cycles': 4300000000}",NULL,0,NULL
869,Intel,"Xeon E-2124G",4,"{'cycles': 3400000000}","{'cycles': 4500000000}","Intel HD Graphics P630",0,NULL
870,Intel,"Xeon E-2124G",4,"{'cycles': 3400000000}","{'cycles': 4500000000}","Intel HD Graphics P630",0,NULL
871,Intel,"Xeon E-2126G",6,"{'cycles': 3300000000}","{'cycles': 4500000000}","Intel HD Graphics P630",0,NULL
872,Intel,"Xeon E-2134",4,"{'cycles': 3500000000}","{'cycles': 4500000000}",NULL,1,NULL
873,Intel,"Xeon E-2134",4,"{'cycles': 3500000000}","{'cycles': 4500000000}",NULL,1,NULL
874,Intel,"Xeon E-2136",6,"{'cycles': 3300000000}","{'cycles': 4500000000}",NULL,1,NULL
875,Intel,"Xeon E-2136",6,"{'cycles': 3300000000}","{'cycles': 4500000000}",NULL,1,NULL
876,Intel,"Xeon E-2144G",4,"{'cycles': 3600000000}","{'cycles': 4500000000}","Intel HD Graphics P630",1,NULL
877,Intel,"Xeon E-2146G",6,"{'cycles': 3500000000}","{'cycles': 4500000000}","Intel HD Graphics P630",1,NULL
878,Intel,"Xeon E-2146G",6,"{'cycles': 3500000000}","{'cycles': 4500000000}","Intel HD Graphics P630",1,NULL
879,Intel,"Xeon E-2174G",4,"{'cycles': 3800000000}","{'cycles': 4700000000}","Intel HD Graphics P630",1,NULL
880,Intel,"Xeon E-2174G",4,"{'cycles': 3800000000}","{'cycles': 4700000000}","Intel HD Graphics P630",1,NULL
881,Intel,"Xeon E-2176G",6,"{'cycles': 3700000000}","{'cycles': 4700000000}","Intel HD Graphics P630",1,NULL
882,Intel,"Xeon E-2176G",6,"{'cycles': 3700000000}","{'cycles': 4700000000}","Intel HD Graphics P630",1,NULL
